Dataset name,Source Agency,URL in SAP,URL in Data.gov,creator_user_id,id,isopen,metadata_created,metadata_modified,notes,num_resources,num_tags,owner_org,private,sap_access_rights,sap_agency_dataset_id,sap_citizenship_requirement,sap_created,sap_data_collection_notes,sap_doi,sap_fees,sap_first_year_available,sap_geography_differs_from_ruf,sap_has_application_documentation,sap_has_supporting_documentation,sap_last_year_available,sap_linkage_capabilities,sap_modified,sap_number_of_cases,sap_number_of_variables,sap_other_smallest_geographical_unit,sap_preferred_citation,sap_program,sap_program_title,sap_puf_available,sap_puf_url,sap_requires_fti_questions,sap_restricted_info_url,sap_sample,sap_smallest_geographical_unit,sap_summary_of_differences,sap_variable_detail_differs_from_ruf,sap_variable_selection_requirement,sap_where_to_apply,state,type
SSA SS5 Replacement Card Application Addresses,Census Bureau,https://sap.nsf.gov/dataset/doc_census-2375,,,178fb9d8-45f8-512d-bac2-e6b797e71392,False,2026-06-12T05:51:30.851389,2026-06-26T19:39:48.637064,"This file contains addresses provided on SS5 replacement card applications as a supplement to the Numident. This dataset requires approval from SSA and an SSA Data Request Form. 

All restrictions on use of the Census Numident apply to the SSA SS5 data. For more information, see RDG #4004.",1,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,Census Bureau restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2375,2,2026-04-08T23:18:22,"The SSA Replacement Card data is part of the Numident. For more information on the design of the Census Numident, see RDG #4004.",,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,2009,,,,2026,,2026-06-26T19:39:41.747807,,,,,False,,False,,False,,No sample. Dataset includes entire Universe,6,,,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
CMS Medicare Master Beneficiary Summary File (MBSF),Census Bureau,https://sap.nsf.gov/dataset/doc_census-2331,,,6b7aea42-54f1-5094-ad51-56ff7d53f654,False,2026-06-12T05:51:29.151163,2026-06-26T19:39:40.908920,The Medicare Master Beneficiary Summary File (MBSF) is the Centers for Medicare & Medicaid Serivces's database of record for Medicare Beneficiary enrollment information. It is the authoritative source for Medicare beneficiary information and entitlement.,0,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,Census Bureau restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2331,2,2026-01-28T16:19:57,,,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,2024,,,,2025,,2026-06-26T19:39:33.879091,,,,,False,,False,,False,,No sample. Dataset includes entire Universe,1,,,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
Decennial Surname Identifiers,Census Bureau,https://sap.nsf.gov/dataset/doc_census-2155,,,829ffc5b-c541-59b1-90cc-496fe810db0d,False,2026-06-12T05:49:09.487850,2026-06-26T19:39:33.071212,"These data contain disambiguated, person-level surname identifiers. These identifiers group together the same, or similar, surnames. We create a unique identifier for each surname and attach it to individual level records in the 2000 and 2010 decennial data. Several versions of the surname identifier are available: one that groups together only exactly identical surnames, one that groups together surnames based upon SAS DQ95 match codes, and one that groups together surnames based upon SAS DQ90 match codes. SAS DQ match codes blend soundex and other string normalization algorithms to create hash codes that group together similar bits of text. The SAS DQ95 will be ``more strict'' than a SAS DQ90. The surname identifiers are longitudinally consistent between the 2000 and 2010 decennial data, meaning a single surname identifier will be used to identify the same surname in the 2000 and 2010 surname ID files. With these data, users will be able to identify whether any two individual records in the 2000 and/or 2010 decennial census data share the same surname.

Note: Users accessing these surname identifiers must not have surname PII in their project space.",0,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,Users accessing these surname identifiers must not have surname PII in their project space. Census Bureau restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2155,2,2024-10-11T15:01:50,,,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,2000,,,,2010,,2026-06-26T19:39:24.231603,,,,,False,,False,,False,,"We create a unique identifier for each surname and attach it to individual level records in the 2000 and 2010 decennial data. Several versions of the surname identifier are available: one that groups together only exactly identical surnames, one that groups together surnames based upon SAS DQ95 match codes, and one that groups together surnames based upon SAS DQ90 match codes.",1,,,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
State - Supplemental Nutrition Assistance Program (SNAP) - Arkansas,Census Bureau,https://sap.nsf.gov/dataset/doc_census-2147,,,15abec74-462e-5f24-a9a1-8ce95788acc5,False,2026-06-12T05:49:10.867397,2026-06-26T19:39:15.119512,"The dataset contains data from the SNAP program in Arkansas. SNAP offers nutrition assistance to millions of eligible, low-income individuals and families and provides economic benefits to communities. SNAP is the largest program in the domestic hunger safety net. SNAP benefits can be used to purchase food at grocery stores, convenience stores, and some farmers' markets and co-op food programs. SNAP benefits are given to you each month on a plastic card called an EBT (electronic benefits transfer) card, which works like a debit card. Paper coupons are no longer used. SNAP is a nutrition program. It is not a welfare cash assistance program.",0,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,Census Bureau restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2147,2,2026-02-05T15:53:19,,,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,2017,,,,2025,,2026-06-26T19:39:08.206197,Dependent on sample size for any given year,,,,True,Supplemental Nutrition Assistance Program (SNAP),False,,False,,No sample. Dataset includes entire Universe.,1,,,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
State - Temporary Assistance for Needy Families (TANF) - Georgia,Census Bureau,https://sap.nsf.gov/dataset/doc_census-2135,,,3b36bd53-080f-5cb0-9614-8e2c095dbc3d,False,2026-06-12T05:49:13.844914,2026-06-26T19:39:07.244428,"The dataset contains program data from the TANF program in Georgia. The Temporary Assistance for Needy Families (TANF) program is designed to help needy families achieve self-sufficiency. States receive block grants to design and operate programs that accomplish one of the purposes of the TANF program. 

The four purposes of the TANF program are to: 
• Provide assistance to needy families so that children can be cared for in their own homes
• Reduce the dependency of needy parents by promoting job preparation, work and marriage
• Prevent and reduce the incidence of out-of-wedlock pregnancies
• Encourage the formation and maintenance of two-parent families

Note: This dataset is from a third party source. The project review timeframes above do not apply to applications that request access to confidential data assets commingled with data that are either not owned, or are only co-owned, by the statistical agency(s) or unit(s) and require approval from third parties not subject to this policy (e.g., state and local government agencies)",0,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,Census Bureau restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2135,2,2025-08-19T18:52:02,,,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,2018,,,,2024,,2026-06-26T19:38:58.948367,Dependent on sample size for any given year,,,,True,Temporary Assistance for Needy Families (TANF),False,,False,,No sample. Dataset includes entire Universe.,1,,,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
SSA SS5 Original Card Addresses,Census Bureau,https://sap.nsf.gov/dataset/doc_census-2386,,,e96b42cc-3a85-58c8-bc89-75b44b612122,False,2026-06-12T05:51:32.025997,2026-06-26T19:39:01.923076,"This file contains addresses SSA SS5 original card addresses from the original application to receive a Social Security Card as a supplement to the Numident. This dataset requires approval from SSA and an SSA Data Request Form. 

All restrictions on use of the Census Numident apply to the SSA SS5 data. For more information, see RDG #4004.",1,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,Census Bureau restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2386,2,2026-04-08T23:17:19,"The SSA Replacement Card data is part of the Numident. For more information on the design of the Census Numident, see RDG #4004.",,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,2018,,,,2026,,2026-06-26T19:38:50.890616,,,,,False,,False,,False,,No sample. Dataset includes entire Universe,6,,,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
Survey of Doctorate Recipients (FSRDC Version),Census Bureau,https://sap.nsf.gov/dataset/doc_census-2120,,,0fba9a6f-2071-5554-a9b2-7933d8f2bde8,False,2026-06-12T05:49:03.979085,2026-06-26T19:38:57.842605,"The Survey of Doctorate Recipients (SDR) provides demographic, education, and career history information from individuals with a U.S. research doctoral degree in a science, engineering, or health (SEH) field. The SDR is sponsored by the National Center for Science and Engineering Statistics and by the National Institutes of Health. Conducted since 1993, the SDR is a unique source of information about the educational and occupational achievements and career movement of U.S.-trained doctoral scientists and engineers in the United States and abroad.",0,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,SDR restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2120,2,2024-09-23T19:57:08,"The SDR uses a trimodal data collection approach: self-administered online survey, self-administered paper questionnaire (via mail), and computer-assisted telephone interview (CATI).

The data collected in the SDR are subject to both editing and imputation procedures. The SDR uses both logical imputation and statistical (hot-deck) imputation as part of the data processing effort.
Because the SDR is based on a complex sampling design and subject to nonresponse bias, sampling weights are created for each respondent to support unbiased population estimates.

 Year-to-year comparisons can be made among the SDR survey cycles because many of the core questions remained the same. Small but notable differences exist across some survey years, such as the collection of occupation and education data based on more recent taxonomies. Also, because of the use of different reference months in some survey cycles, seasonal differences may occur when making comparisons across years.",,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,2015,True,,,2021,"Request with 1396 Survey of Earned Doctorates. DRF ID#
. Respondent Location
. Location State; DRF ID#; Respondent Location; Location State",2026-06-26T19:38:46.634302,Dependent on sample size for any given year.,,,,False,,True,https://ncsesdata.nsf.gov/datadownload,False,,The SDR includes individuals that meet the following criteria: Earned an SEH research doctorate degree from a U.S. academic institution prior to 1 July 2017; Are not institutionalized or terminally ill on 1 February 2019; and are less than 76 years of age as of 1 February 2019.,9,"Includes educational institution identifiers for degrees earned and state-level identifiers for residency and employer location, which are not available on the PUF. Values of salary and income are rounded and top-coded on the PUF.",True,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
Environmental Impacts Frame (EIF) Residential Information,Census Bureau,https://sap.nsf.gov/dataset/doc_census-2384,,,519b0b23-cd65-5ed0-a083-99e58253f3d1,False,2026-06-12T05:51:34.624332,2026-06-26T19:38:49.812110,"The EIF combines comprehensive administrative records and survey data on the U.S. population with high-resolution geospatial information on environmental hazards.

The EIF Residential Information contains information on the location of all individuals with a PIK, and information on the environmental circumstances for each 0.01 degree grid cell. The residential history information contains MAFID, zip code, latitude and longitude and EIF grid cell centroid (for merging with environmental data) and is derived from multiple administrative records and commercial data sources. The gridded environmental data contains information on air pollution (PM2.5, NOx and other pollutants), wildfire smoke, temperature and precipitation extremes, hurricane winds and wildfires.",0,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,Census Bureau restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2384,2,2026-04-01T15:24:39,"For more information on constructing the EIF, see the working paper: https://www.census.gov/library/working-papers/2024/adrm/CES-WP-24-74.html",,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,1999,,,,2024,,2026-06-26T19:38:38.782672,,,,,False,,False,,False,,The EIF is derived from multiple administrative records and commercial data sources,1,,,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
State - Supplemental Nutrition Assistance Program (SNAP) – Georgia,Census Bureau,https://sap.nsf.gov/dataset/doc_census-2113,,,c8053e3b-c8df-502d-9059-b62af194dd02,False,2026-06-12T05:49:12.295574,2026-06-26T19:38:45.547349,"The dataset contains data from the SNAP program in Georgia. SNAP offers nutrition assistance to millions of eligible, low-income individuals and families and provides economic benefits to communities. SNAP is the largest program in the domestic hunger safety net. SNAP benefits can be used to purchase food at grocery stores, convenience stores, and some farmers' markets and co-op food programs. SNAP benefits are given to you each month on a plastic card called an EBT (electronic benefits transfer) card, which works like a debit card. Paper coupons are no longer used. SNAP is a nutrition program. It is not a welfare cash assistance program.",0,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,Census Bureau restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2113,2,2025-08-19T18:53:12,,,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,2018,,,,2024,,2026-06-26T19:38:34.238370,Dependent on sample size for any given year,,,,True,Supplemental Nutrition Assistance Program (SNAP),False,,False,,No sample. Dataset includes entire Universe.,1,,,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
Environmental Impacts Frame (EIF) Demographic Spine,Census Bureau,https://sap.nsf.gov/dataset/doc_census-2383,,,d2dbc791-36fa-5e34-972b-b76ed36cc105,False,2026-06-12T05:51:33.288689,2026-06-26T19:38:37.421666,"The EIF combines comprehensive administrative records and survey data on the U.S. population with high-resolution geospatial information on environmental hazards. 

The EIF Demographic Spine contains time invariant information for all individuals with a PIK, including race/ethnicity, age, sex, date of birth, date of death, and place of birth. This is derived from multiple administrative records datasets including the Numident, Medicare EDB and the Census Best Race and Ethnicity File.

Use of this data will require an approved SSA Data Use Request form.",1,0,eeecf0c4-c2ad-4ed8-9371-37c22e441229,False,Census Bureau restricted-use data must be used for statistical purposes and cannot be used for purposes of enforcing laws or regulations or for profit.,2383,2,2026-04-08T23:19:26,"For more information on constructing the EIF, see the working paper here: https://www2.census.gov/library/working-papers/2024/adrm/ces/CES-WP-24-74.pdf",,Possible seat fee dependent on consortium membership. URL for more information: https://www.census.gov/about/adrm/fsrdc/about/fsrdc-network-fees.html,2025,,,,2025,,2026-06-26T19:38:23.695392,,,,,False,,False,,False,,"The demographic spine contains basic demographic information (race, ethnicity, sex, place of birth, date of birth and mortality) for all individuals with social security numbers, sourced from the Social Security Administration’s Numident file",1,,,False,https://www.census.gov/about/adrm/fsrdc.html,active,sap_dataset
