Received Date,RIN,Agency,Rule Title,Status,Concluded Date,Conclusion Action,PubID,RRID
9/11/2026,0925-ZA21,0925-HHS/NIH,2026 NIH Research Plan on Rehabilitation,Pending Review,,,,
8/20/2026,0925-ZA20,0925-HHS/NIH,FY 2026-2030 NIH Strategic Plan for HIV and HIV-Related Research,Concluded,9/17/2026,Consistent with Change,,1506361
8/4/2026,0925-ZA19,0925-HHS/NIH,NIH Policy on Sharing Summary Level Results with Clinical Research Participants,Concluded,8/12/2026,Consistent without Change,,1495861
7/29/2026,0925-ZA18,0925-HHS/NIH,Request for Information (RFI): Inviting Comments and Suggestions on the National Institute of Nursing Research (NINR) Strategic Plan for Fiscal Years 2027-2031,Concluded,9/8/2026,Consistent with Change,,1490361
7/23/2026,0925-ZA17,0925-HHS/NIH,Recent Updates: Supporting a Safe and Respectful Workplace at Institutions that Receive NIH Funding,Concluded,8/7/2026,Consistent with Change,,1480561
7/23/2026,0925-ZA16,0925-HHS/NIH,Request for Information (RFI) on Proposed Changes to Reporting Outcomes from NIH Peer Review,Concluded,8/7/2026,Consistent with Change,,1480511
7/9/2026,0925-ZA15,0925-HHS/NIH,NIH Is Replacing Letters of Support with Letters of Collaboration to Reduce Administrative Burden,Concluded,7/24/2026,Consistent with Change,,1460061
6/30/2026,0925-ZA14,0925-HHS/NIH,Request for Information: NIH Common Fund is Soliciting Ideas for NIH-wide Challenges and Opportunities,Concluded,7/15/2026,Consistent with Change,,1449861
6/17/2026,0925-ZA13,0925-HHS/NIH,Request for Information: Draft NIH Biosafety Policy for Research Involving Biohazards,Concluded,8/12/2026,Consistent with Change,,1434761
6/15/2026,0925-ZA12,0925-HHS/NIH,Inviting Comments and Suggestions on Topic Areas for the NIDCR Strategic Plan for Fiscal Years 2027–2031,Concluded,7/6/2026,Consistent with Change,,1429961
6/15/2026,0925-ZA11,0925-HHS/NIH,Request for Information: Inviting Input on NIDA's Strategic Plan for 2027-2031,Concluded,7/27/2026,Consistent with Change,,1429911
6/8/2026,0925-ZA10,0925-HHS/NIH,Request for Information on Measuring and Rewarding Scientific Impact,Concluded,6/17/2026,Consistent with Change,,1419911
8/1/2016,0925-AA55,0925-HHS/NIH,Clinical Trials Registration and Results Submission,Published,9/15/2016,Consistent with Change,201610,126609
3/11/2014,0925-AA55,0925-HHS/NIH,Clinical Trials Registration and Results Submission,Published,8/29/2014,Consistent with Change,201410,123853
3/10/2011,0925-AA53,0925-HHS/NIH,Amendment of Regulation of the Responsibility of Applicants for Promoting Objectivity in Research for Which PHS Funding Is Sought and Responsible Prospective Contractors,Published,8/11/2011,Consistent with Change,201110,120049
3/8/2011,0925-AA53,0925-HHS/NIH,Amendment of Regulation of the Responsibility of Applicants for Promoting Objectivity in Research for Which PHS Funding Is Sought and Responsible Prospective Contractors,Concluded,3/8/2011,Withdrawn,201104,120034
7/8/2010,0925-AA53,0925-HHS/NIH,Amendment of Regulation of the Responsibility of Applicants for Promoting Objectivity in Research for Which PHS Funding Is Sought and Responsible Prospective Contractors,Published,7/14/2010,Consistent without Change,201010,118925
4/15/2010,0925-AA53,0925-HHS/NIH,Amendment of Regulation of the Responsibility of Applicants for Promoting Objectivity in Research for Which PHS Funding Is Sought and Responsible Prospective Contractors,Published,5/13/2010,Consistent with Change,201010,118562
9/25/2009,0925-AA42,0925-HHS/NIH,Grants for Research Projects,Published,11/3/2009,Consistent with Change,200910,117725
6/26/2009,0925-ZA05,0925-HHS/NIH,National Institutes of Health Guidelines for Human Stem Cell Research,Published,7/6/2009,Consistent without Change,,117310
