Received Date,RIN,Agency,Rule Title,Status,Concluded Date,Conclusion Action,PubID,RRID
06/03/2026,3145-AA74,3145-NSF,Revision of Regulations Related to Nondiscrimination in Federally Assisted Programs of the National Science Foundation,Concluded,07/23/2026,Consistent with Change,202510,1412411
04/26/2023,3145-AA64,3145-NSF,NSF CyberCorps Scholarship for Service Program,Concluded,07/24/2023,Consistent with Change,202310,311761
04/29/2022,3145-AA64,3145-NSF,NSF CyberCorps Scholarship for Service Program,Concluded,06/30/2022,Consistent with Change,202210,240861
09/08/2003,3145-AA41,3145-NSF,Governmentwide Debarment and Suspension (Nonprocurement) and Governmentwide Requirements for Drug-Free Workplace (Grants),Published,10/17/2003,Consistent with Change,200310,110589
02/28/2002,3145-AA39,3145-NSF,Misconduct in Science and Engineering Regulations at 45 CFR Part 689,Published,03/06/2002,Consistent with Change,200204,109775
10/19/2001,3145-AA39,3145-NSF,Research Misconduct in Science and Engineering Regulations at 45 CFR 689,Published,12/06/2001,Consistent with Change,200204,109069
05/25/2001,3145-AA36,3145-NSF,Enforcement and Hearing Procedudres; Tourism Guidelines,Published,08/07/2001,Consistent without Change,200110,109239
12/17/1997,3145-AA34,3145-NSF,Conservation of Antarctic Animals and Plants,Concluded,03/09/1998,Withdrawn,199804,106728
06/12/1995,3145-ZA01,3145-NSF,Notice of Technical Changes to Investigator Financial Disclosure Policy,Published,07/03/1995,Consistent with Change,,104422
05/26/1995,3145-ZA00,3145-NSF,Notice of Delayed Effective Date of Investigator Financial Disclosure Policy,Published,06/09/1995,Consistent with Change,,105376
04/28/1994,3145-AA26,3145-NSF,Testimony and Production of Records,Published,05/04/1994,Consistent with Change,199410,105406
10/29/1993,3145-AA24,3145-NSF,Salary Offset,Published,10/29/1993,Consistent without Change,199404,104073
10/29/1993,3145-AA23,3145-NSF,Claims Collection and Administrative Offset,Published,10/29/1993,Consistent without Change,199404,104074
10/14/1993,3145-YA21,3145-NSF,Investigator Financial Disclosure Policy,Published,01/06/1994,Consistent with Change,,102986
09/24/1993,3145-YA19,3145-NSF,Request for Comments -- 45 CFR Chapter VI (Final Rule),Concluded,10/05/1993,Consistent without Change,,103525
07/19/1993,3145-AA23,3145-NSF,Claims Collection and Administrative Offset,Published,08/26/1993,Consistent without Change,199310,103407
07/19/1993,3145-AA24,3145-NSF,Salary Offset,Published,08/27/1993,Consistent with Change,199310,103408
06/03/1993,3145-YA20,3145-NSF,Investigator Financial Disclosure Policy,Concluded,10/06/1993,Withdrawn,,103694
03/24/1993,3145-AA15,3145-NSF,Waste Regulation,Published,06/17/1993,Consistent with Change,199310,103278
08/17/1992,3145-AA14,3145-NSF,Environmental Assessment Procedures for National Science Foundation Actions in Antarctica,Published,08/26/1992,Consistent with Change,199210,99966
07/01/1992,3145-YA18,3145-NSF,Disposition of Rights in Inventions,Published,07/22/1992,Consistent without Change,,101147
06/01/1992,3145-AA22,3145-NSF,Debarment and Suspension,Published,06/22/1992,Consistent without Change,199210,101045
04/29/1992,3145-YA17,3145-NSF,Investigator Financial Disclosure Policy,Published,07/10/1992,Consistent without Change,,100701
04/28/1992,3145-AA15,3145-NSF,Waste Regulation,Published,07/23/1992,Consistent with Change,199210,101163
12/30/1991,3145-AA07,3145-NSF,Patents,Published,03/25/1992,Consistent with Change,199204,100996
12/12/1991,3145-AA14,3145-NSF,Environmental Assessment Procedures for National Science Foundation Actions in Antarctica,Published,12/26/1991,Consistent with Change,199204,98563
08/12/1991,3145-AA19,3145-NSF,Amendments to Freedom of Information and Privacy Act Regulations -- 45 CFR Parts 612 and 613,Published,09/12/1991,Consistent with Change,199110,98939
08/12/1991,3145-YA16,3145-NSF,Conservation of Antarctic Animals and Plants -- 45 CFR Part 670,Concluded,08/23/1991,Consistent without Change,,99469
04/19/1991,3145-AA21,3145-NSF,Misconduct in Science and Engineering,Published,04/25/1991,Consistent without Change,199110,98187
12/14/1990,3145-AA21,3145-NSF,Misconduct in Science and Engineering,Published,02/05/1991,Consistent with Change,199104,97955
08/14/1990,3145-YA15,3145-NSF,Administrative Requirements for Grants and Cooperative Agreements with Academic Institutions and Nonprofit Organizations,Concluded,10/25/1990,Suspended Review,,95719
08/01/1990,3145-AA19,3145-NSF,Freedom of Information and Privacy Act Regulations Amendment,Published,08/28/1990,Consistent without Change,199104,95370
06/05/1990,3145-AA14,3145-NSF,"Procedures for Implementing Executive Order 12114, Environmental Effects Abroad of Major Federal Actions -- 44 CFR Part 1956",Published,06/27/1990,Consistent with Change,199010,96602
05/15/1990,3145-AA16,3145-NSF,Governmentwide Requirements for Drug-Free Workplace (Grants),Published,05/22/1990,Consistent without Change,199010,96663
02/20/1990,3145-AA17,3145-NSF,New Restrictions on Lobbying,Published,02/23/1990,Consistent without Change,199010,94132
01/23/1990,3145-YA14,3145-NSF,Amendment of Privacy Act Regulations/Exemption of System of Records,Concluded,02/08/1990,Exempt from Executive Order,,94061
